word_cn,word_en
粗粝,Gritty
生锈,Rusty
刺骨,Piercing
沉重,Heavy
嘶哑,Raspy
工业,Industrial
丝滑,Silky
清澈,Crystalline
轻盈,Airy
有机,Organic
通透,Transparent
木质,Woody
粘稠,Slimy
扭曲,Twisted
故障,Glitchy
酸性,Acidic
浑浊,Muddy
低保真,Lo-fi
弹跳,Bouncy
闪烁,Shimmering
气泡,Bubbly
清脆,Snappy
激昂,Uplifting
魔法,Magical
悬浮,Hovering
延绵,Sustained
膨胀,Swelling
呼吸,Breathing
静止,Still
铺底,Padded
轻触,Tapping
滴落,Dripping
颗粒,Granular
细碎,Fluttering
扫过,Sweeping
轻快,Light
脉冲,Pulsing
循环,Looping
研磨,Grinding
震动,Vibrating
隆隆,Rumbling
节奏,Rhythmic
重击,Punchy
爆发,Explosive
顿挫,Staccato
破碎,Smashing
切断,Chopped
瞬态,Transient
贴耳,Intimate
干涩,Bone-dry
幽闭,Claustrophobic
闷响,Muffled
窒息,Airless
盒装,Boxy
混响,Reverberant
大厅,Hall
回声,Echoey
空灵,Ethereal
金属管,Tubular
大教堂,Cathedral
清晰,Present
直接,Direct
聚焦,Focused
前方,Upfront
广角,Wide
平坦,Flat
扩散,Diffused
遥远,Distant
巨大,Massive
大气,Atmospheric
沉浸,Immersive
无垠,Endless
黑暗,Dark
明亮,Bright
温暖,Warm
冷冽,Cold
光滑,Smooth
粗糙,Rough
金属,Metallic
塑料,Plastic
阴郁,Gloomy
密集,Dense
稀疏,Sparse
复古,Vintage
现代,Modern
尖锐,Sharp
柔和,Soft
饱满,Full
空洞,Empty
蓬松,Fluffy
紧凑,Compact
松散,Loose
湿润,Wet
干燥,Dry
脆弱,Fragile
坚固,Solid
纤细,Thin
厚实,Thick
透明,Clear
模糊,Hazy
鲜活,Vivid
暗淡,Dull
尖叫,Screaming
低语,Whispering
咆哮,Roaring
嗡嗡,Buzzing
噼啪,Crackling
滴答,Ticking
叮当,Jingling
嘎吱,Creaking
沙沙,Rustling
呼啸,Whooshing
喷溅,Splashing
碰撞,Clashing
敲击,Knocking
摩擦,Grinding
撕裂,Tearing
压碎,Crushing
弹奏,Plucking
拨动,Strumming
敲打,Tapping
滑动,Sliding
电子,Electronic
数字,Digital
模拟,Analog
合成,Synthetic
采样,Sampled
真实,Real
虚拟,Virtual
处理过,Processed
原始,Raw
增强,Enhanced
压缩,Compressed
失真,Distorted
过载,Overdriven
饱和,Saturated
调制,Modulated
滤波,Filtered
均衡,Equalized
混合,Mixed
分层,Layered
立体,Stereo
环绕,Surround
单声,Mono
宽广,Spacious
狭窄,Narrow
深邃,Deep
浅薄,Shallow
高亢,High-pitched
低沉,Low-pitched
尖细,Treble
低音,Bass
中频,Midrange
全频,Full-range
次低音,Sub-bass
超高音,Ultra-high
谐波,Harmonic
泛音,Overtone
基频,Fundamental
共振,Resonant
消音,Muted
增益,Boosted
衰减,Attenuated
平衡,Balanced
不平衡,Unbalanced
对称,Symmetric
不对称,Asymmetric
规则,Regular
不规则,Irregular
周期,Periodic
非周期,Aperiodic
稳定,Stable
不稳定,Unstable
可预测,Predictable
不可预测,Unpredictable
重复,Repetitive
变化,Varying
恒定,Constant
起伏,Fluctuating
渐强,Crescendo
渐弱,Decrescendo
突强,Sforzando
突弱,Pianissimo
动态,Dynamic
静态,Static
活泼,Lively
沉闷,Lifeless
生动,Animated
呆板,Rigid
流畅,Smooth-flowing
断续,Choppy
连续,Continuous
间断,Intermittent
平滑,Even
粗犷,Rugged
精细,Fine
粗略,Coarse
细腻,Delicate
粗糙,Rough-hewn
光滑,Polished
毛糙,Unpolished

